Taxonomy_a,Taxonomy_b,cat_a,cat_b,dep,dep_count,prod,dep_avg
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities","Beer, Wine, and Liquor Stores",0.176497373693517,39,120250,0.014677536273889147
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Book Stores,0.0327327825168914,9,120250,0.002722060916165605
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Children's and Infants' Clothing Stores,0.0027461467186801,1,120250,0.00022836978949522662
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Clothing Accessories Stores,0.0015997506615711,1,120250,0.00013303539805165074
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Confectionery and Nut Stores,0.032502355797462204,9,120250,0.002702898611015568
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities","Cosmetics, Beauty Supplies, and Perfume Stores",0.1085006029245216,21,120250,0.009022919162122379
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Department Stores,0.08159852119635459,12,120250,0.006785739808428656
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Electronics Stores,0.2766571350194289,64,120250,0.02300683035504606
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Family Clothing Stores,0.1449851430571757,28,120250,0.012056976553611286
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Fish and Seafood Markets,0.0103755584687197,2,120250,0.0008628323050910353
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Floor Covering Stores,0.0010414054303413,2,120250,8.66033621905447e-05
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Food (Health) Supplement Stores,0.0223622466992785,8,120250,0.0018596462951582951
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Fruit and Vegetable Markets,0.05213922862858,10,120250,0.004335902588655302
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Furniture Stores,0.1096183170066623,32,120250,0.009115868358142395
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities","Gift, Novelty, and Souvenir Stores",0.0431166234873151,17,120250,0.003585581994787118
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities","Hobby, Toy, and Game Stores",0.1150843506932229,24,120250,0.00957042417407259
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Household Appliance Stores,0.0021562468971072003,3,120250,0.00017931367127710607
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Jewelry Stores,0.10611162328243019,29,120250,0.008824251416418311
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Malls,0.45081169672098337,97,120250,0.037489538188855163
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Meat Markets,0.050990307033608,10,120250,0.0042403581732730145
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Men's Clothing Stores,0.0012915241523085,2,120250,0.00010740325590923078
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Musical Instrument and Supplies Stores,0.0282636528824581,11,120250,0.0023504077241129394
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities","Nursery, Garden Center, and Farm Supply Stores",0.0023031859112596,1,120250,0.00019153313191348024
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Office Supplies and Stationery Stores,0.0369583443971145,13,120250,0.003073458993523035
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Optical Goods Stores,0.1513890228706198,19,120250,0.012589523731444476
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Other Clothing Stores,0.0091837547735284,2,120250,0.0007637218106884324
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Pet and Pet Supplies Stores,0.1115328473800512,24,120250,0.009275080863205921
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Pharmacies and Drug Stores,0.6224378267539951,96,120250,0.05176198143484367
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities","Sewing, Needlework, and Piece Goods Stores",0.0893439720182592,9,120250,0.007429852142890578
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Shoe Stores,0.0335453147514675,17,120250,0.0027896311643632013
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Sporting Goods Stores,0.1373433745159033,32,120250,0.011421486446228965
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Tire Dealers,0.0043302111092612,3,120250,0.0003601007159468774
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Tobacco Stores,0.10161924463375771,8,120250,0.008450664834408126
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Used Merchandise Stores,0.0649324700821335,20,120250,0.005399789611819834
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Warehouse Clubs and Supercenters,0.0909350201155603,24,120250,0.00756216383497383
Arts / Museum,Shopping,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Women's Clothing Stores,0.0467819219631693,16,120250,0.00389038852084568
Arts / Museum,Sports,Art Dealers,Fitness and Recreational Sports Centers,1.043967216813236,58,30784,0.3391265647132393
Arts / Museum,Sports,Museums,Fitness and Recreational Sports Centers,0.4692382821619772,26,30784,0.15242927565033043
Arts / Museum,Sports,Museums,Sports Teams and Clubs,0.0039021177585487,2,30784,0.0012675798332083873
Arts / Museum,Sports,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Fitness and Recreational Sports Centers,1.002019434435302,208,30784,0.3255000761549187
Arts / Museum,Sports,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",Sports Teams and Clubs,0.0854443749884509,5,30784,0.02775609894375354
Arts / Museum,Transportation,Art Dealers,Bus and Other Motor Vehicle Transit Systems,0.72499081466626,69,59274,0.12231177492091981
